Target,Source,Value
Lodging,day,0
Meals,day,344813
rental,day,390837
Transport,day,205489
Other,day,319268
Lodging,multi,446069
Meals,multi,732185
rental,multi,249879
Transport,multi,141941
Other,multi,376059
