Year,NoRecBus,NoOtters
1990,1,0
1991,1,0
1992,1,1
1993,1,3
1994,2,0
1995,2,22
1996,2,32
1997,2,42
1998,3,56
1999,3,25
2000,3,63
2001,3,41
2002,3,13
2003,3,6
2004,3,16
2005,3,51
2006,3,75
2007,3,82
2008,3,52
2009,3,58
2010,3,60
2011,3,107
2012,4,106
2013,5,126
2014,6,141
2015,6,143
2016,7,153
2017,7,151
2018,7,131
2019,8,
